DATE,CSUSHPISA,MORTGAGE30US,UMCSENT,INTDSRUSM193N,MSPUS,GDP
1/1/2003,129.321,5.840769231,79.96666667,2.25,186000,11174.129
1/4/2003,131.756,5.506923077,89.26666667,2.166666667,191800,11312.766
1/7/2003,135.013,6.033846154,89.3,2.0,191900,11566.669
1/10/2003,138.8356667,5.919285714,91.96666667,2.0,198800,11772.234
1/1/2004,143.2986667,5.5975,98.0,2.0,212700,11923.447
1/4/2004,148.209,6.106153846,93.33333333,2.083333333,217600,12112.815
1/7/2004,152.7166667,5.894285714,95.6,2.5,213500,12305.307
1/10/2004,157.5353333,5.736153846,93.86666667,3.0,228800,12527.214
1/1/2005,163.4813333,5.768461538,94.06666667,3.5,232500,12767.286
1/4/2005,169.3473333,5.708461538,90.2,4.0,233700,12922.656
1/7/2005,174.58,5.763846154,87.5,4.5,236400,13142.642
1/10/2005,179.5393333,6.226153846,82.43333333,5.0,243600,13324.204
1/1/2006,183.3243333,6.246923077,88.93333333,5.583333333,247700,13599.16
1/4/2006,183.9973333,6.602307692,83.8,6.0,246300,13753.424
1/7/2006,182.8193333,6.56,84.03333333,6.25,235600,13870.188
1/10/2006,183.6493333,6.243846154,92.46666667,6.25,245400,14039.56
1/1/2007,184.422,6.214615385,92.2,6.25,257400,14215.651
1/4/2007,181.6213333,6.358461538,86.9,6.25,242200,14402.082
1/7/2007,178.2613333,6.551538462,85.73333333,5.75,241800,14564.117
1/10/2007,175.37,6.224615385,77.5,4.916666667,238400,14715.058
1/1/2008,171.5756667,5.872307692,72.9,3.166666667,233900,14706.538
1/4/2008,166.6723333,6.086923077,59.6,2.25,235300,14865.701
1/7/2008,161.9543333,6.322307692,64.83333333,2.25,226500,14898.999
1/10/2008,156.0286667,5.841428571,57.66666667,1.0,222500,14608.208
1/1/2009,150.06,5.06,58.26666667,0.5,208400,14430.901
1/4/2009,147.9113333,5.012307692,68.2,0.5,220900,14381.236
1/7/2009,148.237,5.162307692,68.4,0.5,214300,14448.882
1/10/2009,147.97,4.922142857,70.16666667,0.5,219000,14651.248
1/1/2010,146.295,4.995833333,73.86666667,0.666666667,222900,14764.611
1/4/2010,146.1713333,4.922307692,73.93333333,0.75,219500,14980.193
1/7/2010,143.973,4.447142857,68.3,0.75,224100,15141.605
1/10/2010,142.254,4.436153846,71.26666667,0.75,224300,15309.471
1/1/2011,140.618,4.846923077,73.06666667,0.75,226900,15351.444
1/4/2011,139.9243333,4.650769231,71.86666667,0.75,228100,15557.535
1/7/2011,139.2346667,4.291538462,59.66666667,0.75,223500,15647.681
1/10/2011,137.2596667,4.002307692,64.8,0.75,221100,15842.267
1/1/2012,137.0143333,3.922307692,75.5,0.75,238400,16068.824
1/4/2012,140.1133333,3.794615385,76.3,0.75,238700,16207.13
1/7/2012,142.2863333,3.553846154,74.96666667,0.75,248800,16319.54
1/10/2012,144.5626667,3.359230769,79.4,0.75,251700,16420.386
1/1/2013,148.191,3.496923077,76.66666667,0.75,258400,16629.05
1/4/2013,152.8543333,3.672307692,81.66666667,0.75,268100,16699.551
1/7/2013,156.9313333,4.44,81.56666667,0.75,264800,16911.068
1/10/2013,160.1023333,4.293076923,76.93333333,0.75,273600,17133.114
1/1/2014,162.5143333,4.364615385,80.93333333,0.75,275200,17144.281
1/4/2014,163.705,4.227692308,82.83333333,0.75,288000,17462.703
1/7/2014,165.2326667,4.135384615,82.96666667,0.75,281000,17743.227
1/10/2014,167.3446667,3.963571429,89.76666667,0.75,298900,17852.54
1/1/2015,169.1906667,3.716666667,95.5,0.75,289200,17991.348
1/4/2015,170.8803333,3.819230769,94.23333333,0.75,289100,18193.707
1/7/2015,172.9643333,3.954615385,90.73333333,0.75,295800,18306.96
1/10/2015,175.695,3.897857143,91.3,0.833333333,302500,18332.079
1/1/2016,177.7003333,3.738461538,91.56666667,1.0,299800,18425.306
1/4/2016,179.422,3.589230769,92.4,1.0,306000,18611.617
1/7/2016,181.8356667,3.446153846,90.33333333,1.0,303800,18775.459
1/10/2016,184.747,3.842307692,93.06666667,1.083333333,310900,18968.041
1/1/2017,187.3716667,4.173076923,97.23333333,1.333333333,313100,19148.194
1/4/2017,189.6213333,3.98,96.36666667,1.583333333,318200,19304.506
1/7/2017,192.6373333,3.883846154,95.1,1.75,320500,19561.896
1/10/2017,195.9763333,3.922307692,98.36666667,1.833333333,337900,19894.75
1/1/2018,199.1546667,4.282307692,98.93333333,2.083333333,331800,20155.486
1/4/2018,201.4513333,4.544615385,98.33333333,2.333333333,315600,20470.197
1/7/2018,203.6866667,4.566923077,98.06666667,2.583333333,330900,20687.278
1/10/2018,205.6396667,4.784615385,98.13333333,2.833333333,322800,20819.269
1/1/2019,206.772,4.373846154,94.46666667,3.0,313000,21013.085
1/4/2019,208.1416667,4.010769231,98.46666667,3.0,322500,21272.448
1/7/2019,210.162,3.658461538,93.8,2.75,318400,21531.839
1/10/2019,212.806,3.7,97.2,2.25,327100,21706.532
1/1/2020,215.638,3.521538462,96.63333333,1.583333333,329000,21538.032
1/4/2020,217.239,3.239230769,74.06666667,0.25,322600,19636.731
1/7/2020,222.6413333,2.952307692,75.66666667,0.25,337500,21362.428
1/10/2020,233.09,2.760714286,79.8,0.25,358700,21704.706
1/1/2021,242.267,2.875833333,80.23333333,0.25,369800,22313.85
1/4/2021,253.814,3.003846154,85.56666667,0.25,382600,23046.934
